Setup title,"2-terminal dual Vsweep_long_dark_-2-2V"
Application test name,"2-terminal dual Vsweep"
Test date,2/1/2023
Test time,17:14:24
Device ID,
Count,1
Flags,
Remarks,
Name,Port1,Port2,Vstart,Vstop1,Vstep1,Vstop2,Vstep2,IntegTime,HoldTime,DelayTime,Compliance,MinRange
Value,"SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,2,0.01,-2,0.01,LONG,0,0,0.0005,1nA
Name,Temp
Value,0
V1,I1
-1.65,-1.129E-11
-1.66,-1.147E-11
-1.67,-1.143E-11
-1.68,-1.127E-11
-1.69,-1.141E-11
-1.7,-1.151E-11
-1.71,-1.141E-11
-1.72,-1.141E-11
-1.73,-1.136E-11
-1.74,-1.155E-11
-1.75,-1.147E-11
-1.76,-1.141E-11
-1.77,-1.144E-11
-1.78,-1.16E-11
-1.79,-1.159E-11
-1.8,-1.135E-11
-1.81,-1.15E-11
-1.82,-1.171E-11
-1.83,-1.163E-11
-1.84,-1.145E-11
-1.85,-1.161E-11
-1.86,-1.169E-11
-1.87,-1.16E-11
-1.88,-1.153E-11
-1.89,-1.168E-11
-1.9,-1.183E-11
-1.91,-1.177E-11
-1.92,-1.173E-11
-1.93,-1.164E-11
-1.94,-1.185E-11
-1.95,-1.184E-11
-1.96,-1.156E-11
-1.97,-1.167E-11
-1.98,-1.192E-11
-1.99,-1.186E-11
-2,-1.114E-11
-1.99,-8.84E-12
-1.98,-6.27E-12
-1.97,-3.44E-12
-1.96,-1E-14
-1.95,3.15E-12
-1.94,5.54E-12
-1.93,7.4E-12
-1.92,8.69E-12
-1.91,9.63E-12
-1.9,1.008E-11
-1.89,1.061E-11
-1.88,1.095E-11
-1.87,1.087E-11
-1.86,1.103E-11
-1.85,1.112E-11
-1.84,1.138E-11
-1.83,1.118E-11
-1.82,1.101E-11
-1.81,1.108E-11
-1.8,1.137E-11
-1.79,1.108E-11
-1.78,1.099E-11
-1.77,1.089E-11
-1.76,1.123E-11
-1.75,1.116E-11
-1.74,1.087E-11
-1.73,1.106E-11
-1.72,1.124E-11
-1.71,1.094E-11
-1.7,1.106E-11
-1.69,1.098E-11
-1.68,1.127E-11
-1.67,1.098E-11
-1.66,1.093E-11
-1.65,1.075E-11
-1.64,1.118E-11
-1.63,1.106E-11
-1.62,1.078E-11
-1.61,1.105E-11
-1.6,1.108E-11
-1.59,1.106E-11
-1.58,1.078E-11
-1.57,1.086E-11
-1.56,1.11E-11
-1.55,1.08E-11
-1.54,1.081E-11
-1.53,1.068E-11
-1.52,1.109E-11
-1.51,1.082E-11
-1.5,1.066E-11
-1.49,1.055E-11
-1.48,1.093E-11
-1.47,1.081E-11
-1.46,1.052E-11
-1.45,1.08E-11
-1.44,1.08E-11
-1.43,1.077E-11
-1.42,1.046E-11
-1.41,1.039E-11
-1.4,1.073E-11
-1.39,1.051E-11
-1.38,1.057E-11
-1.37,1.044E-11
-1.36,1.081E-11
-1.35,1.046E-11
-1.34,1.043E-11
-1.33,1.023E-11
-1.32,1.024E-11
-1.31,1.032E-11
-1.3,1.024E-11
-1.29,1.012E-11
-1.28,1.021E-11
-1.27,1.012E-11
-1.26,1.054E-11
-1.25,1.015E-11
-1.24,1.007E-11
-1.23,9.95E-12
-1.22,1.042E-11
-1.21,9.9E-12
-1.2,9.88E-12
-1.19,9.78E-12
-1.18,1.008E-11
-1.17,9.71E-12
-1.16,9.69E-12
-1.15,9.51E-12
-1.14,9.92E-12
-1.13,9.38E-12
-1.12,9.35E-12
-1.11,9.19E-12
-1.1,9.5E-12
-1.09,9.03E-12
-1.08,8.94E-12
-1.07,8.63E-12
-1.06,8.99E-12
-1.05,8.55E-12
-1.04,8.31E-12
-1.03,8E-12
-1.02,8.26E-12
-1.01,7.69E-12
-1,7.35E-12
-0.99,7.01E-12
-0.98,7.14E-12
-0.97,6.56E-12
-0.96,5.82E-12
-0.95,5.48E-12
-0.94,5.39E-12
-0.93,4.72E-12
-0.92,3.96E-12
-0.91,3.6E-12
-0.9,3.2E-12
-0.89,2.68E-12
-0.88,1.99E-12
-0.87,1.72E-12
-0.86,1.55E-12
-0.85,1.13E-12
-0.84,5.4E-13
-0.83,7.5E-13
-0.82,7.6E-13
-0.81,6.3E-13
-0.8,1.8E-13
-0.79,2.6E-13
-0.78,4.5E-13
-0.77,3.7E-13
-0.76,-2E-14
-0.75,1.6E-13
-0.74,3.2E-13
-0.73,2.5E-13
-0.72,-1.5E-13
-0.71,6E-14
-0.7,1.7E-13
-0.69,9E-14
-0.68,-2.5E-13
-0.67,4E-14
-0.66,6E-14
-0.65,6E-14
-0.64,-3E-13
-0.63,1E-14
-0.62,-2E-14
-0.61,-3E-14
-0.6,-3.6E-13
-0.59,1E-14
-0.58,-5E-14
-0.57,-1E-13
-0.56,-2.9E-13
-0.55,-3.3E-13
-0.54,1.3E-13
-0.53,-1.2E-13
-0.52,-2.8E-13
-0.51,-2.9E-13
-0.5,1E-13
-0.49,-2.1E-13
-0.48,-2E-13
-0.47,-3E-13
-0.46,1.1E-13
-0.45,1E-14
-0.44,-4E-13
-0.43,-1.5E-13
-0.42,3E-14
-0.41,-4E-14
-0.4,-4.1E-13
-0.39,-7E-14
-0.38,-5E-14
-0.37,-2.9E-13
-0.36,-1.9E-13
-0.35,-4E-13
-0.34,2E-13
-0.33,-1.3E-13
-0.32,3E-14
-0.31,-1.1E-13
-0.3,-6E-14
-0.29,-3.6E-13
-0.28,-3.4E-13
-0.27,-1.9E-13
-0.26,-2.8E-13
-0.25,-3.4E-13
-0.24,1.2E-13
-0.23,-2.7E-13
-0.22,-1.5E-13
-0.21,-2.8E-13
-0.2,-1E-14
-0.19,6E-14
-0.18,-5.2E-13
-0.17,1E-14
-0.16,-4E-14
-0.15,-4E-14
-0.14,-3.6E-13
-0.13,-2.9E-13
-0.12,1E-14
-0.11,-1.3E-13
-0.1,-2.9E-13
-0.09,-2.3E-13
-0.08,1.1E-13
-0.07,-3.2E-13
-0.06,-2.2E-13
-0.05,-1.7E-13
-0.04,9E-14
-0.03,-1E-14
-0.02,-3.7E-13
-0.01,-1.2E-13
0,3E-14
