Time,I1
202.50302,3.84E-12
202.75328,5.58E-12
203.00333,4.08E-12
203.2537,-1.29E-12
203.50437,-2.73E-12
203.75461,-6.61E-12
204.00462,-5.06E-12
204.25505,-1.261E-11
204.50572,3.63E-12
204.75598,2.46E-12
205.00737,2.33E-12
205.25073,2.12E-12
205.50144,3.06E-12
205.75163,4.59E-12
206.00167,7.84E-12
206.25069,5.07E-12
206.50138,-9.6E-13
206.75162,-1.122E-11
207.00165,-1.297E-11
207.25069,-1.296E-11
207.50138,-6.81E-12
207.75154,4.04E-12
208.00166,1.56E-12
208.25235,1.6E-12
208.50302,-5.94E-12
208.75326,5.18E-12
209.00327,1.86E-12
209.25366,9.53E-12
209.50429,-4.12E-12
209.75461,4.82E-12
210.00575,8.78E-12
210.2564,3.68E-12
210.50562,4.8E-13
210.75598,-1.7E-13
211.00709,-9.71E-12
211.25069,-1.213E-11
211.50138,-1.25E-11
211.75162,8.36E-12
212.0016,-5.4E-13
212.25074,6.8E-13
212.50138,-3E-12
212.75157,-5.5E-13
213.00162,6.3E-13
213.25073,-3.97E-12
213.50133,8E-13
213.75162,-8E-14
214.00185,-7.6E-13
214.25235,-8.62E-12
214.50294,-1.045E-11
214.7532,-1.156E-11
215.00433,-1.093E-11
215.255,5.93E-12
215.50433,2.62E-12
215.75568,1.61E-12
216.00591,-1.5E-13
216.25639,-2.91E-12
216.50704,1.79E-12
216.75706,-1.2E-13
217.00162,-1.9E-13
217.25069,4E-13
217.50132,1.54E-12
217.75156,8E-13
218.00134,-4.2E-13
218.25069,1.44E-12
218.50136,-7E-13
218.75158,-3.63E-12
219.00157,1.46E-12
219.25073,1.3E-12
219.50129,7.7E-13
219.75186,-3.07E-12
220.00301,-8.11E-12
220.25235,1.52E-12
220.50294,-5.33E-12
220.75322,1.3E-12
221.00459,-2.75E-12
221.25504,-1E-14
221.50567,3.7E-13
221.75589,2.24E-12
222.00591,3.3E-13
222.25635,4.8E-13
222.50698,-1.29E-12
222.75154,-1.36E-12
223.00157,-1.25E-12
223.25073,-1.079E-11
223.50127,-1.099E-11
223.75131,5.18E-12
224.0016,1.85E-12
224.25069,-8.61E-12
224.50126,5.49E-12
224.75157,-5.45E-12
225.00151,-7.87E-12
225.25095,1.423E-11
225.50134,1.34E-11
225.75183,9.31E-12
226.00322,1.18E-11
226.25366,8.77E-12
226.5042,6.9E-13
226.75449,1.48E-12
227.00454,3.73E-12
227.25505,8.62E-12
227.5056,-8.99E-12
227.75586,-1.322E-11
228.0059,-1.228E-11
228.25069,-1.21E-11
228.50694,-1.145E-11
228.75126,8.72E-12
229.00157,4.44E-12
229.25073,3.71E-12
229.50123,2.2E-12
229.75126,1.81E-12
230.00157,7.3E-12
230.25073,-2.4E-13
230.50127,-3.09E-12
230.75145,6.58E-12
231.00156,-6.1E-12
231.25235,2.06E-12
231.50283,9.2E-13
231.75314,-6.87E-12
232.00313,-7.53E-12
232.25365,7.53E-12
232.50419,4.1E-12
232.75447,2.12E-12
233.00452,5.13E-12
233.25501,2.25E-12
233.5055,2.54E-12
233.75578,-2.26E-12
234.00586,-1.046E-11
234.25069,4.65E-12
234.5012,2.64E-12
234.75144,4.64E-12
235.00147,5.85E-12
235.25074,7.2E-13
235.50122,-1.11E-12
235.75146,3.2E-12
236.00146,3.79E-12
236.25073,-4.27E-12
236.50117,4.37E-12
236.75147,4.38E-12
237.00151,7.59E-12
237.2523,4E-12
237.50145,1.73E-12
237.75303,-3.34E-12
238.0031,-6.83E-12
238.2537,1.79E-12
238.50417,-1.7E-12
238.75414,-1.123E-11
239.00443,8E-13
239.25505,-2.9E-12
239.5055,-3.7E-13
239.75573,2.4E-13
240.00582,4.28E-12
240.25635,-6.6E-13
240.5068,-2.07E-12
240.75137,6.8E-13
241.00149,4.01E-12
241.25069,-7.9E-13
241.50117,1.7E-12
241.75143,-7.49E-12
242.00146,-5.75E-12
242.25069,1.54E-12
242.50113,3.3E-13
242.75143,2.61E-12
243.00145,-5.76E-12
243.25069,8.4E-13
243.50117,1.7E-13
243.75141,-1.07E-12
244.00168,2.9E-13
244.25234,1.98E-12
244.50277,9E-14
244.75305,4.33E-12
245.00284,-1.6E-13
245.25365,1.39E-12
245.50413,-4.24E-12
245.75435,-2.92E-12
246.00438,-1.93E-12
246.25501,-7E-13
246.50546,-2.42E-12
246.75569,-3.69E-12
247.00707,-2.61E-12
247.25073,-6.3E-13
247.50117,1.3E-13
247.75138,2.01E-12
248.00137,2.75E-12
248.25073,-1.229E-11
248.50116,-4.77E-12
248.75134,1.44E-12
249.00138,-3.19E-12
249.25069,-7.68E-12
249.50109,1.62E-12
249.75139,-3.13E-12
250.00137,-4.43E-12
