Setup title,"C-V Sweep_dark_-3_3_1K_100K_1M"
-1.58,1.04693E-13
-1.57,5.35567E-13
-1.56,5.46356E-13
-1.55,3.52568E-13
-1.54,7.16063E-13
-1.53,5.4462E-13
-1.52,1.07677E-13
-1.51,7.7851E-14
-1.5,3.39021E-13
-1.49,-4.83792E-14
-1.48,1.41594E-13
-1.47,4.58282E-13
-1.46,5.15712E-13
-1.45,3.61965E-13
-1.44,6.57748E-13
-1.43,7.22932E-13
-1.42,1.54918E-13
-1.41,8.13639E-14
-1.4,3.82184E-13
-1.39,1.42236E-13
-1.38,1.53295E-13
-1.37,5.71042E-13
-1.36,5.91825E-13
-1.35,3.35367E-13
-1.34,8.36695E-13
-1.33,6.46565E-13
-1.32,1.57701E-13
-1.31,4.02549E-14
-1.3,3.83669E-13
-1.29,-6.18156E-14
-1.28,1.19271E-13
-1.27,5.35758E-13
-1.26,1.46533E-13
-1.25,1.83935E-13
-1.24,6.92375E-13
-1.23,6.23102E-13
-1.22,2.65688E-13
-1.21,6.70025E-13
-1.2,4.40236E-13
-1.19,1.26742E-13
-1.18,1.91558E-13
-1.17,6.78269E-13
-1.16,7.34855E-14
-1.15,3.25597E-13
-1.14,8.30499E-13
-1.13,4.83399E-13
-1.12,3.87768E-13
-1.11,4.2424E-13
-1.1,4.76033E-13
-1.09,3.20553E-13
-1.08,-7.81717E-14
-1.07,3.48842E-13
-1.06,4.16767E-13
-1.05,5.60298E-13
-1.04,7.03568E-13
-1.03,6.74203E-13
-1.02,2.13326E-13
-1.01,-2.77952E-14
-1,4.9134E-13
-0.99,1.22444E-13
-0.98,-9.63841E-14
-0.97,5.56493E-13
-0.96,5.95047E-13
-0.95,3.97128E-13
-0.94,7.09928E-13
-0.93,6.31799E-13
-0.92,1.09068E-13
-0.91,9.34701E-14
-0.9,3.7225E-13
-0.89,-1.06499E-13
-0.88,1.1339E-13
-0.87,7.81767E-13
-0.86,7.15783E-13
-0.85,4.74503E-13
-0.84,8.02137E-13
-0.83,4.92919E-13
-0.82,-1.55068E-13
-0.81,2.02372E-13
-0.8,3.24724E-13
-0.79,-1.76466E-14
-0.78,4.44401E-13
-0.77,6.30749E-13
-0.76,5.30071E-13
-0.75,2.30737E-13
-0.74,5.67291E-13
-0.73,1.50239E-13
-0.72,1.34413E-14
-0.71,3.82203E-13
-0.7,5.17226E-13
-0.69,7.03534E-14
-0.68,5.57447E-13
-0.67,8.03905E-13
-0.66,2.3179E-13
-0.65,5.50142E-13
-0.64,5.1183E-13
-0.63,1.74933E-13
-0.62,-3.76024E-14
-0.61,7.1717E-13
-0.6,2.55344E-13
-0.59,4.074E-13
-0.58,7.33893E-13
-0.57,5.53791E-13
-0.56,1.25734E-13
-0.55,5.78364E-14
-0.54,2.35178E-13
-0.53,-4.41439E-14
-0.52,2.5897E-13
-0.51,6.73563E-13
-0.5,1.03874E-13
-0.49,5.48714E-13
-0.48,7.23655E-13
-0.47,3.23715E-13
-0.46,1.8946E-14
-0.45,7.30113E-13
-0.44,5.33528E-14
-0.43,2.56915E-13
-0.42,5.23043E-13
-0.41,5.86641E-13
-0.4,2.62302E-13
-0.39,8.2601E-13
-0.38,3.96984E-13
-0.37,1.54952E-13
-0.36,1.74105E-13
-0.35,4.36497E-13
-0.34,-2.09993E-14
-0.33,4.70898E-13
-0.32,6.87192E-13
-0.31,4.92698E-13
-0.3,7.92047E-13
-0.29,7.8412E-13
-0.28,6.57493E-14
-0.27,1.16664E-14
-0.26,2.87273E-13
-0.25,3.73541E-13
-0.24,3.70913E-13
-0.23,8.23952E-13
-0.22,4.69581E-13
-0.21,1.40213E-13
-0.2,3.05715E-13
-0.19,1.21595E-13
-0.18,-5.2458E-14
-0.17,3.6544E-13
-0.16,7.17137E-13
-0.15,1.93038E-13
-0.14,7.28647E-13
-0.13,6.49223E-13
-0.12,8.30747E-14
-0.11,1.08394E-13
-0.1,3.34875E-13
-0.09,-3.11491E-14
-0.08,2.68805E-13
-0.07,8.5162E-13
-0.06,5.89014E-13
-0.05,4.469E-13
-0.04,6.01916E-13
-0.03,1.7212E-13
-0.02,1.64744E-13
-0.01,4.62171E-13
0,6.1149E-13
0.01,3.99177E-13
0.02,7.14832E-13
0.03,5.52177E-13
0.04,8.61412E-14
0.05,4.67748E-13
0.06,8.60782E-14
0.07,6.41862E-14
0.08,5.54502E-13
0.09,6.43275E-13
0.1,4.89428E-13
0.11,6.65311E-13
0.12,4.0577E-13
0.13,6.77364E-14
0.14,2.97707E-13
0.15,5.6693E-13
0.16,-1.69877E-14
0.17,7.40689E-13
0.18,5.76051E-13
0.19,1.66018E-13
0.2,7.85602E-13
0.21,2.54649E-13
0.22,1.11023E-14
0.23,3.38849E-13
0.24,6.98071E-13
0.25,3.36E-13
0.26,6.62462E-13
0.27,6.11213E-13
0.28,-1.68456E-14
0.29,1.51272E-13
0.3,2.42417E-13
0.31,9.50811E-14
0.32,4.87876E-13
0.33,7.48606E-13
0.34,3.75226E-13
0.35,7.88694E-13
0.36,3.47936E-13
0.37,1.16114E-13
0.38,1.52313E-13
0.39,3.40179E-13
0.4,7.99653E-14
0.41,6.89717E-13
0.42,7.11325E-13
0.43,8.09615E-14
0.44,1.0299E-13
0.45,3.03633E-13
0.46,-8.27218E-14
0.47,4.10502E-13
0.48,6.51525E-13
0.49,4.65914E-13
0.5,6.18792E-13
0.51,7.10727E-13
0.52,-1.19462E-14
0.53,1.0789E-13
0.54,4.13193E-13
0.55,7.24423E-14
0.56,4.82343E-13
0.57,8.10393E-13
0.58,2.87822E-13
0.59,5.76774E-14
0.6,4.87702E-13
0.61,3.49762E-14
0.62,2.43284E-13
0.63,7.81832E-13
0.64,5.87371E-13
0.65,7.42144E-13
0.66,7.15534E-13
0.67,2.61736E-13
0.68,8.6958E-14
0.69,2.62336E-13
0.7,2.05321E-13
0.71,2.11694E-13
0.72,8.06533E-13
0.73,6.10929E-13
0.74,1.32653E-13
0.75,5.82725E-13
0.76,-1.41599E-14
0.77,-1.38033E-13
0.78,4.72036E-13
0.79,5.61846E-13
0.8,5.63134E-13
0.81,7.81013E-13
0.82,4.58264E-13
0.83,1.30343E-13
0.84,4.11006E-13
0.85,8.86715E-14
0.86,1.57025E-13
0.87,7.8316E-13
0.88,7.36306E-13
0.89,4.69865E-13
0.9,7.82973E-13
0.91,1.56759E-13
0.92,-7.69048E-14
0.93,2.76682E-13
0.94,4.18758E-13
0.95,2.33864E-13
0.96,7.2488E-13
0.97,5.24128E-13
0.98,1.61969E-13
0.99,1.50861E-13
1,2.01312E-13
1.01,2.5675E-14
1.02,3.94085E-13
1.03,5.14382E-13
1.04,3.61021E-13
1.05,7.7124E-13
1.06,4.95195E-13
1.07,-9.13814E-14
1.08,3.02803E-13
1.09,3.89326E-13
1.1,-3.77607E-14
1.11,5.13334E-13
1.12,7.36113E-13
1.13,2.58575E-13
1.14,-1.22986E-14
1.15,4.37551E-13
1.16,6.11555E-14
1.17,4.41108E-13
1.18,6.94087E-13
1.19,4.66414E-13
1.2,5.89227E-13
1.21,6.1868E-13
1.22,-1.31488E-14
1.23,2.73781E-14
1.24,-5.67206E-14
1.25,4.11356E-14
1.26,6.192E-13
1.27,6.20635E-13
1.28,2.97878E-13
1.29,2.72134E-13
1.3,3.70197E-13
1.31,-1.13295E-13
1.32,1.99268E-13
1.33,6.87825E-13
1.34,9.82655E-13
1.35,1.52039E-13
1.36,6.95421E-13
1.37,9.50637E-14
1.38,-7.77648E-14
1.39,5.07991E-13
1.4,4.79409E-13
1.41,6.11009E-13
1.42,6.64302E-13
1.43,1.88533E-13
1.44,1.08808E-13
1.45,3.43416E-13
1.46,-2.45287E-13
1.47,2.78101E-13
1.48,8.15164E-13
1.49,5.28461E-13
1.5,7.53311E-13
1.51,6.93684E-13
1.52,1.04196E-13
1.53,1.27936E-13
1.54,6.06399E-13
1.55,-9.74629E-14
1.56,5.22851E-13
1.57,8.55011E-13
1.58,3.141E-13
1.59,6.11524E-13
1.6,1.37876E-13
1.61,5.05621E-14
1.62,3.1282E-13
1.63,6.42768E-13
1.64,3.5024E-13
1.65,8.43874E-13
1.66,5.01142E-13
1.67,-8.41724E-14
1.68,2.34561E-13
1.69,5.5514E-13
1.7,1.97023E-13
1.71,7.18242E-13
1.72,7.46961E-13
1.73,2.7024E-13
1.74,1.99779E-13
1.75,1.1274E-13
1.76,5.47947E-14
1.77,5.4413E-13
1.78,6.86088E-13
1.79,4.15504E-13
1.8,7.96921E-13
1.81,2.25754E-13
1.82,1.57318E-13
1.83,2.88885E-13
1.84,7.38985E-13
1.85,1.43713E-13
1.86,6.45133E-13
1.87,4.32586E-13
1.88,-3.19329E-14
1.89,2.76996E-14
1.9,1.84298E-13
1.91,-2.55231E-14
1.92,8.39253E-13
1.93,5.99387E-13
1.94,6.64166E-13
1.95,6.24521E-13
1.96,4.60889E-13
1.97,-2.20745E-14
1.98,1.95982E-13
1.99,-7.23146E-14
2,2.02589E-13
2.01,7.8626E-13
2.02,5.72955E-13
2.03,1.25571E-13
2.04,2.46647E-13
2.05,-9.60286E-14
2.06,-2.84296E-14
2.07,6.648E-13
2.08,7.52749E-13
2.09,3.29935E-13
2.1,6.85427E-13
2.11,2.03586E-13
2.12,-5.60662E-14
2.13,4.04114E-13
2.14,-1.23386E-13
2.15,4.46928E-13
2.16,7.42754E-13
2.17,5.56291E-13
2.18,6.94735E-14
2.19,4.95482E-13
2.2,-7.93346E-14
2.21,1.62905E-13
2.22,5.94792E-13
2.23,6.05203E-13
2.24,5.37874E-13
2.25,7.07626E-13
2.26,4.73462E-14
2.27,8.02214E-14
2.28,5.22192E-13
2.29,1.12839E-14
2.3,5.92383E-13
2.31,7.95119E-13
2.32,2.76218E-13
2.33,5.99834E-14
2.34,4.82585E-13
2.35,-7.48467E-14
2.36,2.06822E-13
2.37,7.12393E-13
2.38,4.35873E-13
2.39,8.41121E-13
2.4,5.71565E-13
2.41,6.81473E-14
2.42,3.61711E-13
2.43,3.31268E-13
2.44,9.39438E-14
2.45,6.69573E-13
2.46,8.85022E-13
2.47,3.44901E-13
2.48,7.65871E-14
2.49,2.2183E-13
2.5,6.03331E-14
2.51,3.46404E-13
2.52,6.32775E-13
2.53,4.8887E-13
2.54,9.03731E-13
2.55,4.6184E-13
2.56,-1.12505E-13
2.57,1.16172E-13
2.58,6.19016E-13
2.59,9.10316E-14
2.6,7.38193E-13
2.61,5.33647E-13
2.62,1.94793E-13
2.63,4.10067E-13
2.64,1.31331E-13
2.65,-2.5392E-14
2.66,3.71857E-13
2.67,6.7366E-13
2.68,4.45227E-13
2.69,8.52318E-13
2.7,4.52319E-13
2.71,2.04306E-14
2.72,2.62453E-13
2.73,6.82228E-13
2.74,-3.6182E-14
2.75,6.33212E-13
2.76,8.98936E-13
2.77,2.51331E-13
2.78,6.99909E-13
2.79,1.78701E-13
2.8,-1.19539E-14
2.81,2.33546E-13
2.82,6.53517E-13
2.83,2.88977E-13
2.84,6.56738E-13
2.85,5.76529E-13
2.86,-6.31739E-15
2.87,4.14187E-14
2.88,5.07422E-13
2.89,1.72994E-15
2.9,5.49382E-13
2.91,6.90643E-13
2.92,3.17734E-13
2.93,1.0998E-13
2.94,6.3174E-13
2.95,-1.23037E-15
2.96,1.18098E-13
2.97,6.53956E-13
2.98,6.15823E-13
2.99,6.20026E-13
3,6.49066E-13
-3,2.424E-13
-2.99,2.4003E-13
-2.98,2.41292E-13
-2.97,2.15153E-13
-2.96,2.96483E-13
-2.95,2.77668E-13
-2.94,2.52943E-13
-2.93,2.59347E-13
-2.92,2.58643E-13
-2.91,2.948E-13
-2.9,2.6038E-13
-2.89,2.73798E-13
-2.88,2.99695E-13
-2.87,2.41471E-13
-2.86,2.47593E-13
-2.85,2.44729E-13
-2.84,2.61067E-13
-2.83,2.63281E-13
-2.82,2.66143E-13
-2.81,2.66167E-13
-2.8,2.64084E-13
-2.79,2.55745E-13
-2.78,2.98035E-13
-2.77,2.93601E-13
-2.76,2.45858E-13
-2.75,2.54015E-13
-2.74,2.34283E-13
-2.73,2.77936E-13
-2.72,2.27593E-13
-2.71,2.58329E-13
-2.7,2.54594E-13
-2.69,2.87907E-13
-2.68,3.02759E-13
-2.67,2.5207E-13
-2.66,2.85576E-13
-2.65,2.25228E-13
-2.64,2.98392E-13
-2.63,2.41661E-13
-2.62,2.73512E-13
-2.61,2.52358E-13
-2.6,2.68984E-13
-2.59,2.42737E-13
-2.58,2.45221E-13
-2.57,2.35694E-13
-2.56,3.26433E-13
-2.55,3.09972E-13
-2.54,2.761E-13
-2.53,2.27323E-13
-2.52,2.63929E-13
-2.51,2.96008E-13
-2.5,2.07064E-13
-2.49,2.29887E-13
-2.48,2.56681E-13
-2.47,2.8002E-13
-2.46,2.68273E-13
-2.45,2.51179E-13
-2.44,2.90331E-13
-2.43,2.83034E-13
-2.42,2.55014E-13
-2.41,2.76608E-13
-2.4,2.59233E-13
-2.39,2.27903E-13
-2.38,2.66423E-13
-2.37,2.53471E-13
-2.36,2.42961E-13
-2.35,2.30745E-13
-2.34,2.42702E-13
-2.33,3.07318E-13
-2.32,2.64457E-13
-2.31,2.59682E-13
-2.3,2.40064E-13
-2.29,2.67179E-13
-2.28,2.83824E-13
-2.27,2.98415E-13
-2.26,2.56042E-13
-2.25,2.39868E-13
-2.24,2.90879E-13
-2.23,3.04894E-13
-2.22,2.82275E-13
-2.21,2.85611E-13
-2.2,2.8336E-13
-2.19,3.08992E-13
-2.18,2.93122E-13
-2.17,2.69561E-13
-2.16,2.78528E-13
-2.15,2.45098E-13
-2.14,2.58553E-13
-2.13,2.97656E-13
-2.12,2.40291E-13
-2.11,2.57408E-13
-2.1,2.53961E-13
-2.09,2.21613E-13
-2.08,2.64492E-13
-2.07,2.58626E-13
-2.06,2.8145E-13
-2.05,2.77449E-13
-2.04,2.59856E-13
-2.03,2.54367E-13
-2.02,2.77671E-13
-2.01,2.41155E-13
-2,2.79558E-13
-1.99,2.23525E-13
-1.98,2.81558E-13
-1.97,2.67909E-13
-1.96,2.31589E-13
-1.95,2.2512E-13
-1.94,2.48592E-13
-1.93,3.05513E-13
-1.92,2.56093E-13
-1.91,2.90983E-13
-1.9,2.41174E-13
-1.89,2.90993E-13
-1.88,2.6568E-13
-1.87,2.30133E-13
-1.86,2.7974E-13
-1.85,2.57307E-13
-1.84,2.42118E-13
-1.83,2.59217E-13
-1.82,2.47151E-13
-1.81,2.7282E-13
-1.8,2.38777E-13
-1.79,3.01298E-13
-1.78,2.60564E-13
-1.77,2.69463E-13
-1.76,2.57917E-13
-1.75,2.49293E-13
-1.74,2.64457E-13
-1.73,2.09091E-13
-1.72,2.7387E-13
-1.71,3.00198E-13
-1.7,2.25544E-13
