Setup title,"C-V Sweep_light_-6-2_100k_500k_1M"
-2.04,7.89935E-10
-2.03,7.92478E-10
-2.02,7.93574E-10
-2.01,7.96042E-10
-2,7.96424E-10
-1.99,7.99011E-10
-1.98,7.99853E-10
-1.97,8.02477E-10
-1.96,8.03432E-10
-1.95,8.05794E-10
-1.94,8.0684E-10
-1.93,8.08967E-10
-1.92,8.10178E-10
-1.91,8.12876E-10
-1.9,8.13696E-10
-1.89,8.16004E-10
-1.88,8.16783E-10
-1.87,8.19355E-10
-1.86,8.20654E-10
-1.85,8.2289E-10
-1.84,8.23932E-10
-1.83,8.26326E-10
-1.82,8.27421E-10
-1.81,8.29437E-10
-1.8,8.31087E-10
-1.79,8.32801E-10
-1.78,8.34282E-10
-1.77,8.36172E-10
-1.76,8.37982E-10
-1.75,8.39422E-10
-1.74,8.41351E-10
-1.73,8.4315E-10
-1.72,8.44798E-10
-1.71,8.46357E-10
-1.7,8.4821E-10
-1.69,8.49903E-10
-1.68,8.51508E-10
-1.67,8.53255E-10
-1.66,8.54735E-10
-1.65,8.5636E-10
-1.64,8.57964E-10
-1.63,8.59654E-10
-1.62,8.61594E-10
-1.61,8.62844E-10
-1.6,8.64617E-10
-1.59,8.65885E-10
-1.58,8.67905E-10
-1.57,8.69013E-10
-1.56,8.70851E-10
-1.55,8.71927E-10
-1.54,8.7384E-10
-1.53,8.75063E-10
-1.52,8.77003E-10
-1.51,8.78005E-10
-1.5,8.79806E-10
-1.49,8.81587E-10
-1.48,8.8307E-10
-1.47,8.84078E-10
-1.46,8.85852E-10
-1.45,8.87075E-10
-1.44,8.88751E-10
-1.43,8.90009E-10
-1.42,8.91604E-10
-1.41,8.92653E-10
-1.4,8.94203E-10
-1.39,8.95298E-10
-1.38,8.97036E-10
-1.37,8.98202E-10
-1.36,8.99481E-10
-1.35,9.00819E-10
-1.34,9.02294E-10
-1.33,9.03411E-10
-1.32,9.04448E-10
-1.31,9.06044E-10
-1.3,9.07286E-10
-1.29,9.08474E-10
-1.28,9.09834E-10
-1.27,9.11019E-10
-1.26,9.12356E-10
-1.25,9.13446E-10
-1.24,9.14548E-10
-1.23,9.15782E-10
-1.22,9.16839E-10
-1.21,9.18015E-10
-1.2,9.19311E-10
-1.19,9.20401E-10
-1.18,9.21418E-10
-1.17,9.22601E-10
-1.16,9.23638E-10
-1.15,9.25025E-10
-1.14,9.25742E-10
-1.13,9.26688E-10
-1.12,9.2826E-10
-1.11,9.28959E-10
-1.1,9.3005E-10
-1.09,9.30966E-10
-1.08,9.31964E-10
-1.07,9.32981E-10
-1.06,9.34554E-10
-1.05,9.35099E-10
-1.04,9.36384E-10
-1.03,9.37355E-10
-1.02,9.38379E-10
-1.01,9.39533E-10
-1,9.40375E-10
-0.99,9.4123E-10
-0.98,9.4238E-10
-0.97,9.43306E-10
-0.96,9.4428E-10
-0.95,9.44949E-10
-0.94,9.46168E-10
-0.93,9.47006E-10
-0.92,9.48017E-10
-0.91,9.48802E-10
-0.9,9.49734E-10
-0.89,9.50748E-10
-0.88,9.51696E-10
-0.87,9.5247E-10
-0.86,9.53547E-10
-0.85,9.54565E-10
-0.84,9.55273E-10
-0.83,9.5626E-10
-0.82,9.57311E-10
-0.81,9.58277E-10
-0.8,9.5905E-10
-0.79,9.60094E-10
-0.78,9.6075E-10
-0.77,9.61822E-10
-0.76,9.62605E-10
-0.75,9.6392E-10
-0.74,9.64244E-10
-0.73,9.65293E-10
-0.72,9.66269E-10
-0.71,9.67429E-10
-0.7,9.67944E-10
-0.69,9.69022E-10
-0.68,9.69726E-10
-0.67,9.71093E-10
-0.66,9.71588E-10
-0.65,9.72779E-10
-0.64,9.73701E-10
-0.63,9.74893E-10
-0.62,9.75343E-10
-0.61,9.76579E-10
-0.6,9.77415E-10
-0.59,9.78406E-10
-0.58,9.79191E-10
-0.57,9.80121E-10
-0.56,9.812E-10
-0.55,9.82132E-10
-0.54,9.82973E-10
-0.53,9.83974E-10
-0.52,9.85092E-10
-0.51,9.86081E-10
-0.5,9.87E-10
-0.49,9.87929E-10
-0.48,9.88829E-10
-0.47,9.8991E-10
-0.46,9.90995E-10
-0.45,9.91557E-10
-0.44,9.92622E-10
-0.43,9.93787E-10
-0.42,9.94836E-10
-0.41,9.95689E-10
-0.4,9.96752E-10
-0.39,9.97652E-10
-0.38,9.98741E-10
-0.37,9.99485E-10
-0.36,1.0008E-09
-0.35,1.00163E-09
-0.34,1.00256E-09
-0.33,1.00329E-09
-0.32,1.00448E-09
-0.31,1.00525E-09
-0.3,1.00654E-09
-0.29,1.00716E-09
-0.28,1.00816E-09
-0.27,1.0087E-09
-0.26,1.00993E-09
-0.25,1.01044E-09
-0.24,1.01144E-09
-0.23,1.01217E-09
-0.22,1.01304E-09
-0.21,1.01362E-09
-0.2,1.01433E-09
-0.19,1.01493E-09
-0.18,1.01547E-09
-0.17,1.0159E-09
-0.16,1.01663E-09
-0.15,1.01704E-09
-0.14,1.01727E-09
-0.13,1.01792E-09
-0.12,1.018E-09
-0.11,1.01831E-09
-0.1,1.01835E-09
-0.09,1.01867E-09
-0.08,1.01891E-09
-0.07,1.01917E-09
-0.06,1.01911E-09
-0.05,1.01964E-09
-0.04,1.01936E-09
-0.03,1.01965E-09
-0.02,1.0196E-09
-0.01,1.01974E-09
0,1.01956E-09
0.01,1.01968E-09
0.02,1.01956E-09
0.03,1.02004E-09
0.04,1.01964E-09
0.05,1.02002E-09
0.06,1.01984E-09
0.07,1.01987E-09
0.08,1.01966E-09
0.09,1.02019E-09
0.1,1.01976E-09
0.11,1.01986E-09
0.12,1.01985E-09
0.13,1.01985E-09
0.14,1.01972E-09
0.15,1.0198E-09
0.16,1.01996E-09
0.17,1.01965E-09
0.18,1.01984E-09
0.19,1.01977E-09
0.2,1.01977E-09
0.21,1.01962E-09
0.22,1.02002E-09
0.23,1.01961E-09
0.24,1.01989E-09
0.25,1.01984E-09
0.26,1.01984E-09
0.27,1.01968E-09
0.28,1.02E-09
0.29,1.01964E-09
0.3,1.01981E-09
0.31,1.01957E-09
0.32,1.01975E-09
0.33,1.01959E-09
0.34,1.01996E-09
0.35,1.01959E-09
0.36,1.01986E-09
0.37,1.0198E-09
0.38,1.02017E-09
0.39,1.01977E-09
0.4,1.01973E-09
0.41,1.01973E-09
0.42,1.01989E-09
0.43,1.01959E-09
0.44,1.01985E-09
0.45,1.01977E-09
0.46,1.01991E-09
0.47,1.01956E-09
0.48,1.01941E-09
0.49,1.01975E-09
0.5,1.01956E-09
0.51,1.01957E-09
0.52,1.01948E-09
0.53,1.02003E-09
0.54,1.01956E-09
0.55,1.01989E-09
0.56,1.01967E-09
0.57,1.01992E-09
0.58,1.0197E-09
0.59,1.01973E-09
0.6,1.01949E-09
0.61,1.02009E-09
0.62,1.01948E-09
0.63,1.01956E-09
0.64,1.01959E-09
0.65,1.01989E-09
0.66,1.01955E-09
0.67,1.01968E-09
0.68,1.01969E-09
0.69,1.01982E-09
0.7,1.01971E-09
0.71,1.0198E-09
0.72,1.01948E-09
0.73,1.01979E-09
0.74,1.01977E-09
0.75,1.01968E-09
0.76,1.01955E-09
0.77,1.01982E-09
0.78,1.01968E-09
0.79,1.01969E-09
0.8,1.01989E-09
0.81,1.01967E-09
0.82,1.02005E-09
0.83,1.01971E-09
0.84,1.01993E-09
0.85,1.01997E-09
0.86,1.01988E-09
0.87,1.01972E-09
0.88,1.01991E-09
0.89,1.01938E-09
0.9,1.01987E-09
0.91,1.01961E-09
0.92,1.01989E-09
0.93,1.01976E-09
0.94,1.01984E-09
0.95,1.01956E-09
0.96,1.01998E-09
0.97,1.01971E-09
0.98,1.01983E-09
0.99,1.01963E-09
1,1.02015E-09
1.01,1.01963E-09
1.02,1.01996E-09
1.03,1.01985E-09
1.04,1.01995E-09
1.05,1.01966E-09
1.06,1.01994E-09
1.07,1.01988E-09
1.08,1.02002E-09
1.09,1.0198E-09
1.1,1.01987E-09
1.11,1.01965E-09
1.12,1.01974E-09
1.13,1.01987E-09
1.14,1.0198E-09
1.15,1.01976E-09
1.16,1.01982E-09
1.17,1.02001E-09
1.18,1.0199E-09
1.19,1.01994E-09
1.2,1.01984E-09
1.21,1.01988E-09
1.22,1.01974E-09
1.23,1.0199E-09
1.24,1.01975E-09
1.25,1.01993E-09
1.26,1.01983E-09
1.27,1.01995E-09
1.28,1.01967E-09
1.29,1.02008E-09
1.3,1.01975E-09
1.31,1.01997E-09
1.32,1.01978E-09
1.33,1.02003E-09
1.34,1.01972E-09
1.35,1.02005E-09
1.36,1.01986E-09
1.37,1.0199E-09
1.38,1.01969E-09
1.39,1.02016E-09
1.4,1.01994E-09
1.41,1.0199E-09
1.42,1.01994E-09
1.43,1.01981E-09
1.44,1.01975E-09
1.45,1.02001E-09
1.46,1.01987E-09
1.47,1.01969E-09
1.48,1.02016E-09
1.49,1.01999E-09
1.5,1.02011E-09
1.51,1.01976E-09
1.52,1.02024E-09
1.53,1.01984E-09
1.54,1.02009E-09
1.55,1.01987E-09
1.56,1.01998E-09
1.57,1.01995E-09
1.58,1.02014E-09
1.59,1.01986E-09
1.6,1.02023E-09
1.61,1.01982E-09
1.62,1.01997E-09
1.63,1.01976E-09
1.64,1.02017E-09
1.65,1.01997E-09
1.66,1.02031E-09
1.67,1.01994E-09
1.68,1.02008E-09
1.69,1.01973E-09
1.7,1.02011E-09
1.71,1.01968E-09
1.72,1.01986E-09
1.73,1.01993E-09
1.74,1.02008E-09
1.75,1.02001E-09
1.76,1.02007E-09
1.77,1.0199E-09
1.78,1.02018E-09
1.79,1.02001E-09
1.8,1.02016E-09
1.81,1.02E-09
1.82,1.02015E-09
1.83,1.0202E-09
1.84,1.02023E-09
1.85,1.02007E-09
1.86,1.02006E-09
1.87,1.02004E-09
1.88,1.02028E-09
1.89,1.02006E-09
1.9,1.02006E-09
1.91,1.02021E-09
1.92,1.02001E-09
1.93,1.02032E-09
1.94,1.01987E-09
1.95,1.02019E-09
1.96,1.0199E-09
1.97,1.02038E-09
1.98,1.01985E-09
1.99,1.02072E-09
2,1.01991E-09
2,1.02048E-09
1.99,1.02007E-09
1.98,1.02024E-09
1.97,1.01986E-09
1.96,1.02002E-09
1.95,1.02001E-09
1.94,1.02013E-09
1.93,1.01997E-09
1.92,1.02022E-09
1.91,1.01986E-09
1.9,1.02017E-09
1.89,1.01984E-09
1.88,1.02027E-09
1.87,1.02002E-09
1.86,1.01976E-09
1.85,1.01994E-09
1.84,1.02017E-09
1.83,1.01997E-09
1.82,1.01974E-09
1.81,1.01989E-09
1.8,1.02012E-09
1.79,1.01983E-09
1.78,1.01986E-09
1.77,1.01995E-09
1.76,1.01973E-09
1.75,1.0199E-09
1.74,1.01999E-09
1.73,1.02005E-09
1.72,1.01976E-09
1.71,1.02016E-09
1.7,1.0195E-09
1.69,1.01968E-09
1.68,1.01965E-09
1.67,1.01971E-09
1.66,1.0198E-09
1.65,1.01985E-09
1.64,1.01972E-09
1.63,1.02004E-09
1.62,1.01971E-09
1.61,1.02005E-09
1.6,1.01961E-09
1.59,1.01985E-09
1.58,1.0197E-09
1.57,1.01966E-09
1.56,1.01953E-09
1.55,1.0198E-09
1.54,1.01963E-09
1.53,1.01978E-09
1.52,1.01969E-09
1.51,1.01992E-09
1.5,1.01966E-09
1.49,1.01959E-09
1.48,1.0196E-09
1.47,1.01957E-09
1.46,1.01951E-09
1.45,1.01958E-09
1.44,1.01962E-09
1.43,1.01944E-09
1.42,1.0195E-09
1.41,1.01957E-09
1.4,1.01958E-09
1.39,1.01957E-09
1.38,1.01989E-09
1.37,1.01946E-09
1.36,1.0194E-09
1.35,1.01937E-09
1.34,1.01977E-09
1.33,1.0194E-09
1.32,1.0196E-09
1.31,1.01936E-09
1.3,1.01957E-09
1.29,1.01937E-09
1.28,1.01937E-09
1.27,1.01929E-09
1.26,1.0195E-09
1.25,1.01935E-09
1.24,1.01953E-09
1.23,1.01949E-09
1.22,1.0195E-09
1.21,1.01918E-09
1.2,1.01938E-09
1.19,1.01927E-09
1.18,1.01956E-09
1.17,1.0192E-09
1.16,1.01948E-09
1.15,1.01938E-09
1.14,1.01946E-09
1.13,1.0193E-09
1.12,1.01926E-09
1.11,1.01953E-09
1.1,1.01935E-09
1.09,1.01941E-09
1.08,1.01922E-09
1.07,1.01937E-09
1.06,1.01923E-09
1.05,1.01931E-09
1.04,1.01905E-09
1.03,1.01934E-09
1.02,1.01898E-09
1.01,1.01922E-09
1,1.01919E-09
0.99,1.01921E-09
0.98,1.01909E-09
0.97,1.01917E-09
0.96,1.01892E-09
0.95,1.01919E-09
0.94,1.01905E-09
0.93,1.01951E-09
0.92,1.01915E-09
0.91,1.01912E-09
0.9,1.01915E-09
0.89,1.01915E-09
0.88,1.01897E-09
0.87,1.01899E-09
0.86,1.01913E-09
0.85,1.01922E-09
0.84,1.019E-09
0.83,1.01924E-09
0.82,1.01904E-09
0.81,1.01913E-09
0.8,1.01926E-09
0.79,1.0192E-09
0.78,1.01896E-09
0.77,1.01907E-09
0.76,1.01923E-09
0.75,1.01911E-09
0.74,1.01917E-09
0.73,1.01903E-09
0.72,1.01913E-09
0.71,1.01906E-09
0.7,1.01911E-09
0.69,1.01907E-09
0.68,1.01924E-09
0.67,1.01886E-09
0.66,1.01893E-09
0.65,1.0187E-09
0.64,1.01917E-09
0.63,1.01872E-09
0.62,1.01876E-09
0.61,1.01875E-09
0.6,1.0192E-09
0.59,1.01888E-09
0.58,1.0191E-09
0.57,1.01881E-09
0.56,1.01879E-09
0.55,1.01886E-09
0.54,1.01904E-09
0.53,1.01884E-09
0.52,1.0189E-09
0.51,1.0188E-09
0.5,1.01898E-09
0.49,1.01884E-09
0.48,1.01883E-09
0.47,1.01894E-09
0.46,1.01882E-09
0.45,1.01893E-09
0.44,1.0189E-09
0.43,1.01887E-09
0.42,1.01881E-09
0.41,1.01891E-09
0.4,1.01867E-09
0.39,1.01894E-09
0.38,1.01874E-09
0.37,1.01899E-09
0.36,1.01874E-09
0.35,1.0187E-09
0.34,1.01859E-09
0.33,1.01899E-09
0.32,1.01865E-09
0.31,1.01899E-09
0.3,1.01856E-09
0.29,1.01889E-09
0.28,1.01859E-09
0.27,1.01873E-09
0.26,1.01856E-09
0.25,1.01889E-09
0.24,1.01881E-09
0.23,1.01876E-09
0.22,1.01849E-09
0.21,1.01894E-09
0.2,1.01872E-09
0.19,1.01882E-09
0.18,1.01867E-09
0.17,1.01882E-09
0.16,1.01866E-09
0.15,1.01864E-09
0.14,1.01887E-09
0.13,1.01885E-09
0.12,1.0184E-09
0.11,1.01854E-09
0.1,1.01854E-09
0.09,1.01852E-09
0.08,1.01855E-09
0.07,1.01867E-09
0.06,1.01846E-09
0.05,1.01837E-09
0.04,1.01852E-09
0.03,1.0183E-09
0.02,1.01863E-09
0.01,1.01812E-09
0,1.01846E-09
-0.01,1.0179E-09
-0.02,1.01842E-09
-0.03,1.01793E-09
-0.04,1.01831E-09
-0.05,1.01781E-09
-0.06,1.01792E-09
-0.07,1.01752E-09
-0.08,1.01754E-09
-0.09,1.01727E-09
-0.1,1.01715E-09
-0.11,1.01669E-09
-0.12,1.01664E-09
-0.13,1.01641E-09
-0.14,1.01586E-09
-0.15,1.01539E-09
-0.16,1.01514E-09
-0.17,1.01447E-09
-0.18,1.0139E-09
-0.19,1.01338E-09
-0.2,1.01271E-09
-0.21,1.01195E-09
-0.22,1.01139E-09
-0.23,1.01063E-09
-0.24,1.00972E-09
-0.25,1.0092E-09
-0.26,1.00791E-09
-0.27,1.00732E-09
-0.28,1.00615E-09
-0.29,1.00522E-09
-0.3,1.00423E-09
-0.31,1.00367E-09
-0.32,1.00237E-09
-0.33,1.00154E-09
-0.34,1.00035E-09
-0.35,9.99726E-10
-0.36,9.98222E-10
-0.37,9.97634E-10
-0.38,9.96584E-10
-0.39,9.95553E-10
-0.4,9.94344E-10
-0.41,9.93673E-10
-0.42,9.9232E-10
-0.43,9.91245E-10
-0.44,9.90175E-10
-0.45,9.8941E-10
-0.46,9.8817E-10
-0.47,9.87024E-10
-0.48,9.86053E-10
-0.49,9.85135E-10
-0.5,9.839E-10
-0.51,9.83082E-10
-0.52,9.81888E-10
-0.53,9.80925E-10
-0.54,9.79806E-10
-0.55,9.78645E-10
-0.56,9.77724E-10
-0.57,9.7683E-10
-0.58,9.75601E-10
-0.59,9.74674E-10
-0.6,9.73825E-10
-0.61,9.72701E-10
-0.62,9.71626E-10
-0.63,9.7038E-10
-0.64,9.69818E-10
-0.65,9.68301E-10
-0.66,9.67484E-10
-0.67,9.66348E-10
-0.68,9.65408E-10
-0.69,9.64126E-10
-0.7,9.63654E-10
-0.71,9.62057E-10
-0.72,9.61144E-10
-0.73,9.59825E-10
-0.74,9.58894E-10
-0.75,9.57674E-10
-0.76,9.57037E-10
-0.77,9.55974E-10
-0.78,9.54944E-10
-0.79,9.53658E-10
-0.8,9.52654E-10
-0.81,9.5157E-10
-0.82,9.50652E-10
-0.83,9.49296E-10
-0.84,9.48479E-10
-0.85,9.47148E-10
-0.86,9.46E-10
-0.87,9.44809E-10
-0.88,9.43719E-10
-0.89,9.42483E-10
-0.9,9.41374E-10
-0.91,9.40274E-10
-0.92,9.39006E-10
-0.93,9.37777E-10
-0.94,9.36672E-10
-0.95,9.35481E-10
-0.96,9.34355E-10
-0.97,9.33204E-10
-0.98,9.32007E-10
-0.99,9.30869E-10
-1,9.29629E-10
-1.01,9.28422E-10
-1.02,9.26989E-10
-1.03,9.25725E-10
-1.04,9.24391E-10
-1.05,9.23257E-10
-1.06,9.21831E-10
-1.07,9.20706E-10
-1.08,9.19075E-10
-1.09,9.17879E-10
-1.1,9.16427E-10
-1.11,9.15171E-10
-1.12,9.13901E-10
-1.13,9.12356E-10
-1.14,9.1108E-10
-1.15,9.09815E-10
-1.16,9.08396E-10
-1.17,9.07295E-10
-1.18,9.05624E-10
-1.19,9.04083E-10
-1.2,9.02673E-10
-1.21,9.01247E-10
-1.22,8.99969E-10
-1.23,8.98237E-10
-1.24,8.9685E-10
-1.25,8.95245E-10
-1.26,8.93615E-10
-1.27,8.92317E-10
-1.28,8.90614E-10
-1.29,8.88944E-10
-1.3,8.87324E-10
-1.31,8.85928E-10
-1.32,8.84011E-10
-1.33,8.82732E-10
-1.34,8.81165E-10
-1.35,8.79504E-10
-1.36,8.7774E-10
-1.37,8.75887E-10
-1.38,8.7415E-10
-1.39,8.72587E-10
-1.4,8.70937E-10
-1.41,8.69526E-10
-1.42,8.67599E-10
-1.43,8.66056E-10
-1.44,8.64514E-10
-1.45,8.62733E-10
-1.46,8.60913E-10
-1.47,8.59401E-10
-1.48,8.57407E-10
-1.49,8.56162E-10
-1.5,8.5381E-10
-1.51,8.52369E-10
-1.52,8.5044E-10
-1.53,8.48806E-10
-1.54,8.46928E-10
-1.55,8.45338E-10
-1.56,8.4337E-10
-1.57,8.42027E-10
-1.58,8.39836E-10
-1.59,8.38524E-10
-1.6,8.36327E-10
-1.61,8.34867E-10
-1.62,8.33157E-10
-1.63,8.31503E-10
-1.64,8.29529E-10
-1.65,8.28033E-10
-1.66,8.25994E-10
-1.67,8.24551E-10
-1.68,8.22603E-10
-1.69,8.20808E-10
-1.7,8.19148E-10
-1.71,8.17335E-10
-1.72,8.16093E-10
-1.73,8.14032E-10
-1.74,8.12534E-10
-1.75,8.10587E-10
-1.76,8.09197E-10
-1.77,8.07148E-10
-1.78,8.06324E-10
-1.79,8.03948E-10
-1.8,8.02672E-10
-1.81,8.00632E-10
-1.82,7.99564E-10
-1.83,7.97534E-10
-1.84,7.96604E-10
-1.85,7.94227E-10
-1.86,7.9349E-10
-1.87,7.91219E-10
-1.88,7.9022E-10
-1.89,7.88248E-10
-1.9,7.87448E-10
-1.91,7.85029E-10
-1.92,7.84506E-10
-1.93,7.82262E-10
-1.94,7.81301E-10
-1.95,7.79183E-10
-1.96,7.78548E-10
-1.97,7.76549E-10
-1.98,7.76111E-10
-1.99,7.7404E-10
-2,7.73166E-10
-2.01,7.71284E-10
-2.02,7.70244E-10
-2.03,7.68519E-10
-2.04,7.67376E-10
-2.05,7.65891E-10
-2.06,7.64553E-10
-2.07,7.63642E-10
-2.08,7.62173E-10
-2.09,7.61222E-10
-2.1,7.59872E-10
-2.11,7.58968E-10
-2.12,7.57359E-10
-2.13,7.56525E-10
-2.14,7.54559E-10
-2.15,7.5389E-10
-2.16,7.52124E-10
-2.17,7.51902E-10
-2.18,7.50268E-10
-2.19,7.49529E-10
-2.2,7.47887E-10
-2.21,7.47608E-10
-2.22,7.45185E-10
-2.23,7.45389E-10
-2.24,7.43196E-10
-2.25,7.43434E-10
-2.26,7.41382E-10
-2.27,7.41216E-10
-2.28,7.39119E-10
-2.29,7.3932E-10
-2.3,7.37242E-10
-2.31,7.37119E-10
-2.32,7.35475E-10
-2.33,7.35127E-10
-2.34,7.33402E-10
-2.35,7.33334E-10
-2.36,7.31449E-10
-2.37,7.31173E-10
-2.38,7.30021E-10
-2.39,7.29355E-10
-2.4,7.2793E-10
-2.41,7.27636E-10
-2.42,7.26452E-10
-2.43,7.25628E-10
-2.44,7.2473E-10
-2.45,7.2377E-10
-2.46,7.23013E-10
-2.47,7.21592E-10
-2.48,7.20754E-10
-2.49,7.1976E-10
-2.5,7.19038E-10
-2.51,7.18054E-10
-2.52,7.17287E-10
-2.53,7.16288E-10
-2.54,7.16001E-10
-2.55,7.14025E-10
-2.56,7.13923E-10
-2.57,7.11803E-10
-2.58,7.12152E-10
-2.59,7.10152E-10
-2.6,7.10755E-10
-2.61,7.08324E-10
-2.62,7.0842E-10
-2.63,7.06673E-10
-2.64,7.06892E-10
-2.65,7.04651E-10
-2.66,7.04419E-10
-2.67,7.02934E-10
-2.68,7.02843E-10
-2.69,7.00563E-10
-2.7,7.00745E-10
-2.71,6.98892E-10
-2.72,6.98802E-10
-2.73,6.96622E-10
-2.74,6.96488E-10
-2.75,6.9472E-10
-2.76,6.94331E-10
-2.77,6.92546E-10
-2.78,6.91941E-10
-2.79,6.90187E-10
-2.8,6.8901E-10
-2.81,6.88001E-10
-2.82,6.86954E-10
-2.83,6.85784E-10
-2.84,6.84983E-10
-2.85,6.83647E-10
-2.86,6.82428E-10
-2.87,6.81406E-10
-2.88,6.80027E-10
-2.89,6.79416E-10
-2.9,6.77808E-10
-2.91,6.77291E-10
-2.92,6.755E-10
-2.93,6.74863E-10
-2.94,6.73109E-10
-2.95,6.72577E-10
-2.96,6.70518E-10
-2.97,6.70874E-10
-2.98,6.6832E-10
-2.99,6.6824E-10
-3,6.65731E-10
-3.01,6.65699E-10
-3.02,6.63453E-10
-3.03,6.63409E-10
-3.04,6.61231E-10
-3.05,6.61553E-10
-3.06,6.5914E-10
-3.07,6.59374E-10
-3.08,6.56796E-10
-3.09,6.56952E-10
-3.1,6.54943E-10
-3.11,6.54273E-10
-3.12,6.5244E-10
-3.13,6.52329E-10
-3.14,6.50717E-10
-3.15,6.50639E-10
-3.16,6.4842E-10
-3.17,6.47957E-10
-3.18,6.45558E-10
-3.19,6.45323E-10
-3.2,6.43576E-10
-3.21,6.42545E-10
-3.22,6.41376E-10
-3.23,6.40828E-10
-3.24,6.39378E-10
-3.25,6.38568E-10
-3.26,6.37374E-10
-3.27,6.36245E-10
-3.28,6.3488E-10
-3.29,6.33997E-10
-3.3,6.33315E-10
-3.31,6.32009E-10
-3.32,6.31073E-10
-3.33,6.29935E-10
-3.34,6.2948E-10
-3.35,6.27909E-10
-3.36,6.26783E-10
-3.37,6.25768E-10
-3.38,6.25075E-10
-3.39,6.23583E-10
-3.4,6.23151E-10
-3.41,6.21627E-10
-3.42,6.20898E-10
-3.43,6.19615E-10
-3.44,6.19541E-10
-3.45,6.18034E-10
-3.46,6.17926E-10
-3.47,6.16085E-10
-3.48,6.1544E-10
-3.49,6.1369E-10
-3.5,6.13604E-10
-3.51,6.1177E-10
-3.52,6.11523E-10
-3.53,6.10216E-10
-3.54,6.0999E-10
-3.55,6.08195E-10
-3.56,6.08159E-10
-3.57,6.06126E-10
-3.58,6.06053E-10
-3.59,6.04301E-10
-3.6,6.0383E-10
-3.61,6.02431E-10
-3.62,6.02196E-10
-3.63,6.01124E-10
-3.64,5.99826E-10
-3.65,5.9829E-10
-3.66,5.97715E-10
-3.67,5.96808E-10
-3.68,5.96152E-10
-3.69,5.95173E-10
-3.7,5.94379E-10
-3.71,5.93129E-10
-3.72,5.91898E-10
-3.73,5.91327E-10
-3.74,5.90422E-10
-3.75,5.8977E-10
-3.76,5.89095E-10
-3.77,5.88365E-10
-3.78,5.87388E-10
-3.79,5.86595E-10
-3.8,5.85637E-10
-3.81,5.8494E-10
-3.82,5.84043E-10
-3.83,5.83474E-10
-3.84,5.82358E-10
-3.85,5.81429E-10
-3.86,5.80215E-10
-3.87,5.79568E-10
-3.88,5.78202E-10
-3.89,5.77899E-10
-3.9,5.76563E-10
-3.91,5.76315E-10
-3.92,5.75163E-10
-3.93,5.74719E-10
-3.94,5.73691E-10
-3.95,5.73153E-10
-3.96,5.72565E-10
-3.97,5.72095E-10
-3.98,5.70917E-10
-3.99,5.70217E-10
-4,5.69946E-10
-4.01,5.69329E-10
-4.02,5.68448E-10
-4.03,5.67468E-10
-4.04,5.67026E-10
-4.05,5.66335E-10
-4.06,5.65594E-10
-4.07,5.64959E-10
-4.08,5.63797E-10
-4.09,5.63376E-10
-4.1,5.63359E-10
-4.11,5.62557E-10
-4.12,5.61849E-10
-4.13,5.61171E-10
-4.14,5.60789E-10
-4.15,5.60196E-10
-4.16,5.59886E-10
-4.17,5.58917E-10
-4.18,5.58484E-10
-4.19,5.57799E-10
-4.2,5.57294E-10
-4.21,5.57136E-10
-4.22,5.56482E-10
-4.23,5.55656E-10
-4.24,5.55471E-10
-4.25,5.55406E-10
-4.26,5.55095E-10
-4.27,5.5436E-10
-4.28,5.53645E-10
-4.29,5.52869E-10
-4.3,5.52381E-10
-4.31,5.52358E-10
-4.32,5.5201E-10
-4.33,5.51785E-10
-4.34,5.51138E-10
-4.35,5.50871E-10
-4.36,5.50023E-10
-4.37,5.5033E-10
-4.38,5.49329E-10
-4.39,5.49573E-10
-4.4,5.48468E-10
-4.41,5.48871E-10
-4.42,5.48341E-10
-4.43,5.48714E-10
-4.44,5.47377E-10
-4.45,5.47573E-10
-4.46,5.47304E-10
-4.47,5.4709E-10
-4.48,5.46295E-10
-4.49,5.46596E-10
-4.5,5.45831E-10
-4.51,5.45892E-10
-4.52,5.44887E-10
-4.53,5.45183E-10
-4.54,5.44964E-10
-4.55,5.44796E-10
-4.56,5.44479E-10
-4.57,5.44101E-10
-4.58,5.44008E-10
-4.59,5.4365E-10
-4.6,5.43869E-10
-4.61,5.43421E-10
-4.62,5.43174E-10
-4.63,5.42856E-10
-4.64,5.42491E-10
-4.65,5.42415E-10
-4.66,5.42463E-10
-4.67,5.42395E-10
-4.68,5.42525E-10
-4.69,5.41903E-10
-4.7,5.4251E-10
-4.71,5.4123E-10
-4.72,5.41625E-10
-4.73,5.41221E-10
-4.74,5.41589E-10
-4.75,5.40912E-10
-4.76,5.40873E-10
-4.77,5.40665E-10
-4.78,5.40863E-10
-4.79,5.40057E-10
-4.8,5.40187E-10
-4.81,5.39711E-10
-4.82,5.40389E-10
-4.83,5.39129E-10
-4.84,5.39306E-10
-4.85,5.3892E-10
-4.86,5.39006E-10
-4.87,5.38477E-10
-4.88,5.39003E-10
-4.89,5.38561E-10
-4.9,5.3914E-10
-4.91,5.38486E-10
-4.92,5.38573E-10
-4.93,5.38137E-10
-4.94,5.38124E-10
-4.95,5.38426E-10
-4.96,5.38065E-10
-4.97,5.37782E-10
-4.98,5.37545E-10
-4.99,5.37498E-10
-5,5.37264E-10
-5.01,5.36753E-10
-5.02,5.36314E-10
