Setup title,"I/V-t Sampling_-3V_1000S__Dark"
78.00636,-2.976E-11
79.00632,-2.917E-11
80.00496,-2.991E-11
81.00501,-2.933E-11
82.00361,-2.84E-11
83.00366,-2.838E-11
84.00226,-3.095E-11
85.00231,-2.888E-11
86.00069,-2.849E-11
87.00064,-2.876E-11
88.00069,-2.742E-11
89.00069,-2.871E-11
90.00068,-2.744E-11
91.00068,-2.76E-11
92.00064,-2.754E-11
93.00635,-2.737E-11
94.00631,-2.71E-11
95.00636,-2.677E-11
96.00496,-2.63E-11
97.00501,-2.583E-11
98.00361,-2.57E-11
99.00411,-2.569E-11
100.0023,-2.398E-11
101.0023,-2.363E-11
102.00226,-2.202E-11
103.00069,-2.104E-11
104.00069,-2.029E-11
105.00069,-1.89E-11
106.00064,-1.738E-11
107.00064,-1.529E-11
108.00064,-1.35E-11
109.00069,-1.17E-11
110.00631,-9.94E-12
111.005,-8.3E-12
112.00496,-6.47E-12
113.00361,-5.6E-12
114.00361,-3.81E-12
115.0023,-3.51E-12
116.00226,-2.47E-12
117.00064,-1.09E-12
118.00064,-1.51E-12
119.00069,-9.4E-13
120.00069,-7E-14
121.00069,-3.7E-13
122.00069,-5.8E-13
123.00064,-6.2E-13
124.00064,-6.9E-13
125.00636,1.2E-13
126.00636,-3.4E-13
127.00631,-6.1E-13
128.00501,-4.8E-13
129.005,-1.8E-13
130.005,-8E-14
131.00365,7E-14
132.00361,-1.06E-12
133.00365,-3.7E-13
134.0023,-2E-14
135.0023,-6.9E-13
136.0023,9E-14
137.00091,-1.7E-13
138.00064,-1.6E-13
139.00069,1.8E-13
140.00065,-3.5E-13
141.00069,-4.2E-13
142.00069,-1.7E-13
143.00064,8.4E-13
144.00069,-4E-14
145.00064,-2.8E-13
146.00064,-9E-14
147.00069,-2E-14
148.00069,-1E-14
149.00064,-2.1E-13
150.00069,1.2E-13
151.00069,3E-14
152.0077,-4.3E-13
153.00771,-3.7E-13
154.00631,-2.1E-13
155.00635,-1.1E-13
156.00635,-4E-14
157.00635,6.7E-13
158.00635,2.5E-13
159.00635,-2E-13
160.00635,-1.8E-13
161.00635,1.2E-13
162.00631,-2.5E-13
163.00636,-7E-14
164.00631,4E-13
165.00636,-1.2E-13
166.00636,-6.8E-13
167.00636,-5.2E-13
168.00496,-2.8E-13
169.00501,-8E-14
170.00496,1E-14
171.00501,-2.13E-12
172.00496,-3.1E-13
173.005,-1E-14
174.00501,-1.9E-13
175.00501,2.9E-13
176.00365,-2.8E-13
177.00365,4.9E-13
178.00361,9E-14
179.00365,1.8E-13
180.00361,-2.9E-13
181.00365,9E-14
182.00361,-5.8E-13
183.00365,-5.2E-13
184.00231,8.8E-13
185.00231,3E-14
186.00231,-6.9E-13
187.00226,-2.5E-13
188.00226,2.7E-13
189.0023,-3E-14
190.0023,-1.1E-13
191.00226,-1.3E-12
192.00095,-5.5E-13
193.00069,-2E-14
194.00069,-4E-14
195.00069,-6.5E-13
196.00068,-1.8E-13
197.00069,8.4E-13
198.00069,-1.1E-13
199.00064,-9E-14
200.00064,9E-14
201.00069,-7.7E-13
202.00069,-4.6E-13
203.00069,-7.2E-13
204.00064,-3.3E-13
205.00069,-9E-14
206.00069,-3.2E-13
207.00064,-8E-14
208.00632,-5.4E-13
209.00636,-8E-14
210.00636,-2E-14
211.00636,-1.2E-13
212.00632,-3.6E-13
213.00632,3.8E-13
214.00501,-2E-13
215.00496,-1.5E-13
216.005,-3.4E-13
217.00365,-2.7E-13
218.00365,-4E-13
219.00361,-3.4E-13
220.0023,-3.9E-13
221.0023,-2.5E-13
222.0023,-1.8E-13
223.00095,-2.9E-13
224.00064,2.3E-13
225.00069,-2.8E-13
226.00064,-3.9E-13
227.00069,7E-14
228.00069,-1.1E-13
229.00064,-2.4E-13
230.00069,-1.4E-13
231.00064,-1.4E-13
232.00069,-5.5E-13
233.00069,-3.9E-13
234.00064,-1.4E-13
235.00064,-2E-13
236.00069,9E-14
237.00064,-3.5E-13
238.00068,-2.9E-13
239.00064,-5.6E-13
240.00069,2E-14
241.00069,3.4E-13
